Total states: 9901
Time      Preys     Predators   H         
------------------------------------------
4.07      0.0124512 0.719438    3.52239   
4.08      0.012466  0.714975    3.5224    
4.09      0.0124813 0.71054     3.52242   
4.1       0.012497  0.706133    3.52243   
4.11      0.0125131 0.701753    3.52244   
4.12      0.0125297 0.6974      3.52246   
4.13      0.0125468 0.693074    3.52247   
4.14      0.0125643 0.688775    3.52249   
4.15      0.0125822 0.684503    3.5225    
4.16      0.0126006 0.680257    3.52251   
4.17      0.0126194 0.676038    3.52253   
4.18      0.0126387 0.671844    3.52254   
4.19      0.0126584 0.667677    3.52255   
4.2       0.0126786 0.663536    3.52257   
4.21      0.0126992 0.65942     3.52258   
4.22      0.0127202 0.65533     3.5226    
4.23      0.0127417 0.651266    3.52261   
4.24      0.0127636 0.647227    3.52262   
4.25      0.0127859 0.643212    3.52264   
4.26      0.0128087 0.639223    3.52265   
4.27      0.0128319 0.635258    3.52267   
4.28      0.0128556 0.631319    3.52268   
4.29      0.0128797 0.627403    3.5227    
4.3       0.0129043 0.623512    3.52271   
4.31      0.0129292 0.619645    3.52272   
4.32      0.0129546 0.615802    3.52274   
4.33      0.0129805 0.611983    3.52275   
4.34      0.0130068 0.608188    3.52277   
4.35      0.0130335 0.604416    3.52278   
4.36      0.0130607 0.600668    3.5228    
4.37      0.0130883 0.596943    3.52281   
4.38      0.0131163 0.593241    3.52282   
4.39      0.0131448 0.589562    3.52284   
4.4       0.0131737 0.585907    3.52285   
4.41      0.0132031 0.582273    3.52287   
4.42      0.0132329 0.578663    3.52288   
4.43      0.0132631 0.575074    3.5229    
4.44      0.0132938 0.571508    3.52291   
4.45      0.0133249 0.567965    3.52293   
4.46      0.0133564 0.564443    3.52294   
4.47      0.0133884 0.560943    3.52296   
4.48      0.0134208 0.557465    3.52297   
4.49      0.0134537 0.554008    3.52299   
4.5       0.013487  0.550573    3.523     
4.51      0.0135208 0.54716     3.52302   
4.52      0.013555  0.543767    3.52303   
4.53      0.0135896 0.540396    3.52305   
4.54      0.0136247 0.537046    3.52306   
4.55      0.0136603 0.533716    3.52308   
4.56      0.0136963 0.530407    3.52309   
4.57      0.0137327 0.527119    3.52311   
4.58      0.0137696 0.523851    3.52312   
4.59      0.0138069 0.520603    3.52314   
4.6       0.0138447 0.517376    3.52315   
4.61      0.0138829 0.514169    3.52317   
4.62      0.0139216 0.510981    3.52319   
4.63      0.0139607 0.507814    3.5232    
4.64      0.0140003 0.504666    3.52322   
4.65      0.0140403 0.501538    3.52323   
4.66      0.0140808 0.498429    3.52325   
4.67      0.0141218 0.495339    3.52326   
4.68      0.0141632 0.492269    3.52328   
4.69      0.0142051 0.489218    3.5233    
4.7       0.0142474 0.486185    3.52331   
4.71      0.0142902 0.483172    3.52333   
4.72      0.0143335 0.480177    3.52334   
4.73      0.0143772 0.477201    3.52336   
4.74      0.0144214 0.474244    3.52337   
4.75      0.0144661 0.471304    3.52339   
4.76      0.0145112 0.468384    3.52341   
4.77      0.0145568 0.465481    3.52342   
4.78      0.0146029 0.462596    3.52344   
4.79      0.0146494 0.459729    3.52346   
4.8       0.0146964 0.45688     3.52347   
4.81      0.0147439 0.454049    3.52349   
4.82      0.0147919 0.451236    3.5235    
4.83      0.0148404 0.448439    3.52352   
4.84      0.0148893 0.445661    3.52354   
4.85      0.0149387 0.442899    3.52355   
4.86      0.0149886 0.440155    3.52357   
4.87      0.015039  0.437428    3.52359   
4.88      0.0150899 0.434718    3.5236    
4.89      0.0151413 0.432024    3.52362   
