- Read data: 1001
Preys: 10	Predators: 10	H: 423.358
Preys: 3.89184e-05	Predators: 0.00231672	H: 513.574
Preys: 3.93445e-05	Predators: 0.00221479	H: 513.587
Preys: 3.97754e-05	Predators: 0.00211734	H: 513.601
Preys: 4.02111e-05	Predators: 0.00202418	H: 513.615
Preys: 4.06516e-05	Predators: 0.00193512	H: 513.628
Preys: 4.1097e-05	Predators: 0.00184998	H: 513.642
Preys: 4.15474e-05	Predators: 0.00176858	H: 513.655
Preys: 4.20028e-05	Predators: 0.00169077	H: 513.669
Preys: 4.24633e-05	Predators: 0.00161638	H: 513.683
Preys: 4.29289e-05	Predators: 0.00154526	H: 513.696
Preys: 4.33997e-05	Predators: 0.00147727	H: 513.71
Preys: 4.38756e-05	Predators: 0.00141227	H: 513.723
Preys: 4.43569e-05	Predators: 0.00135013	H: 513.737
Preys: 4.48435e-05	Predators: 0.00129073	H: 513.75
Preys: 4.53355e-05	Predators: 0.00123394	H: 513.764
Preys: 4.5833e-05	Predators: 0.00117965	H: 513.778
Preys: 4.6336e-05	Predators: 0.00112774	H: 513.791
Preys: 4.68445e-05	Predators: 0.00107813	H: 513.805
Preys: 4.73587e-05	Predators: 0.00103069	H: 513.818
Preys: 4.78786e-05	Predators: 0.000985341	H: 513.832
Preys: 4.84042e-05	Predators: 0.000941987	H: 513.846
Preys: 4.89356e-05	Predators: 0.000900542	H: 513.859
Preys: 4.94729e-05	Predators: 0.000860919	H: 513.873
Preys: 5.00162e-05	Predators: 0.00082304	H: 513.887
Preys: 5.05655e-05	Predators: 0.000786828	H: 513.9
Preys: 5.11208e-05	Predators: 0.000752209	H: 513.914
Preys: 5.16823e-05	Predators: 0.000719113	H: 513.927
Preys: 5.225e-05	Predators: 0.000687473	H: 513.941
Preys: 5.2824e-05	Predators: 0.000657225	H: 513.955
Preys: 5.34043e-05	Predators: 0.000628309	H: 513.968
Preys: 5.3991e-05	Predators: 0.000600664	H: 513.982
Preys: 5.45842e-05	Predators: 0.000574236	H: 513.995
Preys: 5.51839e-05	Predators: 0.000548971	H: 514.009
Preys: 5.57902e-05	Predators: 0.000524817	H: 514.023
Preys: 5.64033e-05	Predators: 0.000501726	H: 514.036
Preys: 5.70231e-05	Predators: 0.000479651	H: 514.05
Preys: 5.76498e-05	Predators: 0.000458547	H: 514.063
Preys: 5.82833e-05	Predators: 0.000438372	H: 514.077
Preys: 5.89239e-05	Predators: 0.000419084	H: 514.091
Preys: 5.95715e-05	Predators: 0.000400646	H: 514.104
Preys: 6.02263e-05	Predators: 0.000383018	H: 514.118
Preys: 6.08882e-05	Predators: 0.000366166	H: 514.131
Preys: 6.15575e-05	Predators: 0.000350055	H: 514.145
Preys: 6.22342e-05	Predators: 0.000334654	H: 514.159
Preys: 6.29183e-05	Predators: 0.00031993	H: 514.172
Preys: 6.361e-05	Predators: 0.000305853	H: 514.186
Preys: 6.43092e-05	Predators: 0.000292396	H: 514.199
Preys: 6.50162e-05	Predators: 0.000279532	H: 514.213
Preys: 6.5731e-05	Predators: 0.000267233	H: 514.227
Preys: 6.64537e-05	Predators: 0.000255475	H: 514.24
Preys: 6.71843e-05	Predators: 0.000244235	H: 514.254
Preys: 6.79229e-05	Predators: 0.000233489	H: 514.268
Preys: 6.86697e-05	Predators: 0.000223216	H: 514.281
Preys: 6.94248e-05	Predators: 0.000213395	H: 514.295
Preys: 7.01881e-05	Predators: 0.000204006	H: 514.308
Preys: 7.09599e-05	Predators: 0.00019503	H: 514.322
Preys: 7.17401e-05	Predators: 0.000186449	H: 514.336
Preys: 7.2529e-05	Predators: 0.000178246	H: 514.349
Preys: 7.33265e-05	Predators: 0.000170404	H: 514.363
Preys: 7.41328e-05	Predators: 0.000162906	H: 514.376
Preys: 7.4948e-05	Predators: 0.000155739	H: 514.39
Preys: 7.57722e-05	Predators: 0.000148887	H: 514.404
Preys: 7.66054e-05	Predators: 0.000142336	H: 514.417
Preys: 7.74479e-05	Predators: 0.000136074	H: 514.431
Preys: 7.82996e-05	Predators: 0.000130087	H: 514.444
Preys: 7.91606e-05	Predators: 0.000124363	H: 514.458
Preys: 8.00312e-05	Predators: 0.000118892	H: 514.472
Preys: 8.09113e-05	Predators: 0.000113661	H: 514.485
Preys: 8.18011e-05	Predators: 0.00010866	H: 514.499
Preys: 8.27007e-05	Predators: 0.000103879	H: 514.513
Preys: 8.36103e-05	Predators: 9.93088e-05	H: 514.526
Preys: 8.45298e-05	Predators: 9.49395e-05	H: 514.54
Preys: 8.54594e-05	Predators: 9.07624e-05	H: 514.553
Preys: 8.63993e-05	Predators: 8.67691e-05	H: 514.567
Preys: 8.73496e-05	Predators: 8.29515e-05	H: 514.581
Preys: 8.83102e-05	Predators: 7.93019e-05	H: 514.594
Preys: 8.92815e-05	Predators: 7.58129e-05	H: 514.608
Preys: 9.02635e-05	Predators: 7.24773e-05	H: 514.621
Preys: 9.12562e-05	Predators: 6.92885e-05	H: 514.635
Preys: 9.22599e-05	Predators: 6.624e-05	H: 514.649
Preys: 9.32746e-05	Predators: 6.33257e-05	H: 514.662
Preys: 9.43005e-05	Predators: 6.05395e-05	H: 514.676
Preys: 9.53377e-05	Predators: 5.7876e-05	H: 514.689
Preys: 9.63863e-05	Predators: 5.53296e-05	H: 514.703
Preys: 9.74464e-05	Predators: 5.28953e-05	H: 514.717
Preys: 9.85182e-05	Predators: 5.05681e-05	H: 514.73
Preys: 9.96018e-05	Predators: 4.83432e-05	H: 514.744
Preys: 0.000100697	Predators: 4.62163e-05	H: 514.758
Preys: 0.000101805	Predators: 4.41829e-05	H: 514.771
Preys: 0.000102925	Predators: 4.2239e-05	H: 514.785
Preys: 0.000104057	Predators: 4.03807e-05	H: 514.798
Preys: 0.000105201	Predators: 3.86041e-05	H: 514.812
Preys: 0.000106358	Predators: 3.69056e-05	H: 514.826
Preys: 0.000107528	Predators: 3.52819e-05	H: 514.839
Preys: 0.000108711	Predators: 3.37296e-05	H: 514.853
Preys: 0.000109907	Predators: 3.22456e-05	H: 514.866
Preys: 0.000111116	Predators: 3.08269e-05	H: 514.88
Preys: 0.000112338	Predators: 2.94707e-05	H: 514.894
Preys: 0.000113573	Predators: 2.81741e-05	H: 514.907
Preys: 0.000114823	Predators: 2.69345e-05	H: 514.921
Preys: 0.000116086	Predators: 2.57495e-05	H: 514.934
Preys: 0.000117363	Predators: 2.46166e-05	H: 514.948
Preys: 0.000118653	Predators: 2.35336e-05	H: 514.962
Preys: 0.000119959	Predators: 2.24982e-05	H: 514.975
Preys: 0.000121278	Predators: 2.15084e-05	H: 514.989
Preys: 0.000122612	Predators: 2.05621e-05	H: 515.003
Preys: 0.000123961	Predators: 1.96574e-05	H: 515.016
Preys: 0.000125324	Predators: 1.87926e-05	H: 515.03
Preys: 0.000126703	Predators: 1.79658e-05	H: 515.043
Preys: 0.000128096	Predators: 1.71754e-05	H: 515.057
Preys: 0.000129505	Predators: 1.64197e-05	H: 515.071
Preys: 0.00013093	Predators: 1.56973e-05	H: 515.084
Preys: 0.00013237	Predators: 1.50067e-05	H: 515.098
Preys: 0.000133826	Predators: 1.43465e-05	H: 515.111
Preys: 0.000135298	Predators: 1.37153e-05	H: 515.125
Preys: 0.000136786	Predators: 1.31119e-05	H: 515.139
Preys: 0.000138291	Predators: 1.2535e-05	H: 515.152
Preys: 0.000139812	Predators: 1.19835e-05	H: 515.166
Preys: 0.00014135	Predators: 1.14563e-05	H: 515.179
Preys: 0.000142905	Predators: 1.09523e-05	H: 515.193
Preys: 0.000144477	Predators: 1.04704e-05	H: 515.207
Preys: 0.000146066	Predators: 1.00098e-05	H: 515.22
Preys: 0.000147673	Predators: 9.56942e-06	H: 515.234
Preys: 0.000149297	Predators: 9.14841e-06	H: 515.248
Preys: 0.000150939	Predators: 8.74592e-06	H: 515.261
Preys: 0.0001526	Predators: 8.36115e-06	H: 515.275
Preys: 0.000154278	Predators: 7.9933e-06	H: 515.288
Preys: 0.000155975	Predators: 7.64163e-06	H: 515.302
Preys: 0.000157691	Predators: 7.30544e-06	H: 515.316
Preys: 0.000159426	Predators: 6.98404e-06	H: 515.329
Preys: 0.000161179	Predators: 6.67678e-06	H: 515.343
Preys: 0.000162952	Predators: 6.38304e-06	H: 515.356
Preys: 0.000164745	Predators: 6.10222e-06	H: 515.37
Preys: 0.000166557	Predators: 5.83375e-06	H: 515.384
Preys: 0.000168389	Predators: 5.5771e-06	H: 515.397
Preys: 0.000170241	Predators: 5.33174e-06	H: 515.411
Preys: 0.000172114	Predators: 5.09717e-06	H: 515.424
Preys: 0.000174007	Predators: 4.87293e-06	H: 515.438
Preys: 0.000175921	Predators: 4.65854e-06	H: 515.452
Preys: 0.000177856	Predators: 4.4536e-06	H: 515.465
Preys: 0.000179813	Predators: 4.25766e-06	H: 515.479
Preys: 0.000181791	Predators: 4.07035e-06	H: 515.493
Preys: 0.00018379	Predators: 3.89128e-06	H: 515.506
Preys: 0.000185812	Predators: 3.72009e-06	H: 515.52
Preys: 0.000187856	Predators: 3.55643e-06	H: 515.533
Preys: 0.000189922	Predators: 3.39997e-06	H: 515.547
Preys: 0.000192011	Predators: 3.25039e-06	H: 515.561
Preys: 0.000194123	Predators: 3.10739e-06	H: 515.574
Preys: 0.000196259	Predators: 2.97069e-06	H: 515.588
Preys: 0.000198418	Predators: 2.84e-06	H: 515.601
Preys: 0.0002006	Predators: 2.71505e-06	H: 515.615
Preys: 0.000202807	Predators: 2.59561e-06	H: 515.629
Preys: 0.000205038	Predators: 2.48142e-06	H: 515.642
Preys: 0.000207293	Predators: 2.37226e-06	H: 515.656
Preys: 0.000209573	Predators: 2.26789e-06	H: 515.669
Preys: 0.000211879	Predators: 2.16812e-06	H: 515.683
Preys: 0.000214209	Predators: 2.07274e-06	H: 515.697
Preys: 0.000216565	Predators: 1.98155e-06	H: 515.71
Preys: 0.000218948	Predators: 1.89438e-06	H: 515.724
Preys: 0.000221356	Predators: 1.81104e-06	H: 515.738
Preys: 0.000223791	Predators: 1.73137e-06	H: 515.751
Preys: 0.000226253	Predators: 1.6552e-06	H: 515.765
Preys: 0.000228741	Predators: 1.58238e-06	H: 515.778
Preys: 0.000231258	Predators: 1.51277e-06	H: 515.792
Preys: 0.000233801	Predators: 1.44622e-06	H: 515.806
Preys: 0.000236373	Predators: 1.3826e-06	H: 515.819
Preys: 0.000238973	Predators: 1.32177e-06	H: 515.833
Preys: 0.000241602	Predators: 1.26363e-06	H: 515.846
Preys: 0.00024426	Predators: 1.20804e-06	H: 515.86
Preys: 0.000246947	Predators: 1.15489e-06	H: 515.874
Preys: 0.000249663	Predators: 1.10409e-06	H: 515.887
Preys: 0.000252409	Predators: 1.05552e-06	H: 515.901
Preys: 0.000255186	Predators: 1.00908e-06	H: 515.914
Preys: 0.000257993	Predators: 9.64691e-07	H: 515.928
Preys: 0.000260831	Predators: 9.22253e-07	H: 515.942
Preys: 0.0002637	Predators: 8.81682e-07	H: 515.955
