Total states: 66001
Time      Preys     Predators   H         
0.262     11.3906   5.08982     -2.41199  
0.263     11.3961   5.09053     -2.41199  
0.264     11.4017   5.09124     -2.41199  
0.265     11.4073   5.09196     -2.41199  
0.266     11.4129   5.09267     -2.41199  
0.267     11.4185   5.09339     -2.41199  
0.268     11.4241   5.09411     -2.41199  
0.269     11.4297   5.09484     -2.41199  
0.27      11.4354   5.09557     -2.41199  
0.271     11.441    5.0963      -2.41199  
0.272     11.4466   5.09703     -2.41199  
0.273     11.4522   5.09777     -2.41199  
0.274     11.4578   5.09851     -2.41199  
0.275     11.4634   5.09926     -2.41199  
0.276     11.469    5.1         -2.41199  
0.277     11.4747   5.10075     -2.41199  
0.278     11.4803   5.1015      -2.41199  
0.279     11.4859   5.10226     -2.41199  
0.28      11.4915   5.10302     -2.41199  
0.281     11.4972   5.10378     -2.41199  
0.282     11.5028   5.10454     -2.41199  
0.283     11.5084   5.10531     -2.41199  
0.284     11.514    5.10608     -2.41199  
0.285     11.5197   5.10685     -2.41199  
0.286     11.5253   5.10763     -2.41199  
0.287     11.531    5.10841     -2.41199  
0.288     11.5366   5.10919     -2.41199  
0.289     11.5422   5.10997     -2.41199  
0.29      11.5479   5.11076     -2.41199  
0.291     11.5535   5.11155     -2.41199  
0.292     11.5592   5.11235     -2.41199  
0.293     11.5648   5.11314     -2.41199  
0.294     11.5705   5.11394     -2.41199  
0.295     11.5761   5.11475     -2.41199  
0.296     11.5818   5.11555     -2.41199  
0.297     11.5874   5.11636     -2.41199  
0.298     11.5931   5.11718     -2.41199  
0.299     11.5988   5.11799     -2.41198  
0.3       11.6044   5.11881     -2.41198  
0.301     11.6101   5.11963     -2.41198  
0.302     11.6158   5.12045     -2.41198  
0.303     11.6214   5.12128     -2.41198  
0.304     11.6271   5.12211     -2.41198  
0.305     11.6328   5.12295     -2.41198  
0.306     11.6384   5.12378     -2.41198  
0.307     11.6441   5.12462     -2.41198  
0.308     11.6498   5.12546     -2.41198  
0.309     11.6555   5.12631     -2.41198  
0.31      11.6611   5.12716     -2.41198  
0.311     11.6668   5.12801     -2.41198  
0.312     11.6725   5.12886     -2.41198  
0.313     11.6782   5.12972     -2.41198  
0.314     11.6839   5.13058     -2.41198  
0.315     11.6896   5.13145     -2.41198  
0.316     11.6953   5.13231     -2.41198  
0.317     11.701    5.13318     -2.41198  
0.318     11.7067   5.13406     -2.41198  
0.319     11.7124   5.13493     -2.41198  
0.32      11.7181   5.13581     -2.41198  
0.321     11.7238   5.1367      -2.41198  
0.322     11.7295   5.13758     -2.41198  
0.323     11.7352   5.13847     -2.41198  
0.324     11.7409   5.13936     -2.41198  
0.325     11.7466   5.14026     -2.41198  
0.326     11.7523   5.14115     -2.41198  
0.327     11.758    5.14205     -2.41198  
0.328     11.7637   5.14296     -2.41198  
0.329     11.7694   5.14387     -2.41198  
0.33      11.7751   5.14478     -2.41198  
0.331     11.7808   5.14569     -2.41198  
0.332     11.7866   5.1466      -2.41198  
0.333     11.7923   5.14752     -2.41198  
0.334     11.798    5.14845     -2.41198  
0.335     11.8037   5.14937     -2.41198  
0.336     11.8095   5.1503      -2.41198  
0.337     11.8152   5.15123     -2.41198  
0.338     11.8209   5.15217     -2.41198  
0.339     11.8266   5.15311     -2.41198  
0.34      11.8324   5.15405     -2.41198  
0.341     11.8381   5.15499     -2.41198  
0.342     11.8438   5.15594     -2.41198  
0.343     11.8496   5.15689     -2.41198  
0.344     11.8553   5.15784     -2.41198  
0.345     11.8611   5.1588      -2.41198  
0.346     11.8668   5.15976     -2.41198  
0.347     11.8725   5.16072     -2.41198  
0.348     11.8783   5.16169     -2.41198  
0.349     11.884    5.16266     -2.41198  
0.35      11.8898   5.16363     -2.41198  
0.351     11.8955   5.16461     -2.41198  
0.352     11.9013   5.16559     -2.41198  
0.353     11.907    5.16657     -2.41198  
0.354     11.9128   5.16756     -2.41198  
0.355     11.9186   5.16854     -2.41198  
0.356     11.9243   5.16954     -2.41198  
0.357     11.9301   5.17053     -2.41198  
0.358     11.9358   5.17153     -2.41198  
0.359     11.9416   5.17253     -2.41198  
0.36      11.9474   5.17353     -2.41198  
0.361     11.9531   5.17454     -2.41198  
0.362     11.9589   5.17555     -2.41198  
0.363     11.9647   5.17657     -2.41198  
0.364     11.9704   5.17758     -2.41198  
0.365     11.9762   5.1786      -2.41198  
0.366     11.982    5.17963     -2.41198  
0.367     11.9878   5.18065     -2.41198  
0.368     11.9935   5.18168     -2.41198  
0.369     11.9993   5.18272     -2.41198  
0.37      12.0051   5.18375     -2.41198  
0.371     12.0109   5.18479     -2.41198  
0.372     12.0167   5.18583     -2.41198  
0.373     12.0224   5.18688     -2.41198  
0.374     12.0282   5.18793     -2.41197  
0.375     12.034    5.18898     -2.41197  
0.376     12.0398   5.19004     -2.41197  
0.377     12.0456   5.1911      -2.41197  
0.378     12.0514   5.19216     -2.41197  
0.379     12.0572   5.19322     -2.41197  
0.38      12.063    5.19429     -2.41197  
0.381     12.0688   5.19536     -2.41197  
0.382     12.0746   5.19644     -2.41197  
0.383     12.0804   5.19751     -2.41197  
0.384     12.0862   5.1986      -2.41197  
0.385     12.092    5.19968     -2.41197  
0.386     12.0978   5.20077     -2.41197  
0.387     12.1036   5.20186     -2.41197  
0.388     12.1094   5.20295     -2.41197  
0.389     12.1152   5.20405     -2.41197  
0.39      12.121    5.20515     -2.41197  
0.391     12.1268   5.20626     -2.41197  
0.392     12.1326   5.20736     -2.41197  
0.393     12.1385   5.20847     -2.41197  
0.394     12.1443   5.20959     -2.41197  
0.395     12.1501   5.2107      -2.41197  
0.396     12.1559   5.21183     -2.41197  
0.397     12.1617   5.21295     -2.41197  
0.398     12.1676   5.21408     -2.41197  
0.399     12.1734   5.21521     -2.41197  
0.4       12.1792   5.21634     -2.41197  
0.401     12.185    5.21748     -2.41197  
0.402     12.1909   5.21862     -2.41197  
0.403     12.1967   5.21976     -2.41197  
0.404     12.2025   5.22091     -2.41197  
0.405     12.2084   5.22206     -2.41197  
0.406     12.2142   5.22321     -2.41197  
0.407     12.22     5.22437     -2.41197  
0.408     12.2259   5.22553     -2.41197  
0.409     12.2317   5.22669     -2.41197  
0.41      12.2375   5.22785     -2.41197  
0.411     12.2434   5.22902     -2.41197  
0.412     12.2492   5.2302      -2.41197  
0.413     12.2551   5.23137     -2.41197  
0.414     12.2609   5.23255     -2.41197  
0.415     12.2667   5.23374     -2.41197  
0.416     12.2726   5.23492     -2.41197  
0.417     12.2784   5.23611     -2.41197  
0.418     12.2843   5.23731     -2.41197  
0.419     12.2901   5.2385      -2.41197  
0.42      12.296    5.2397      -2.41197  
0.421     12.3018   5.24091     -2.41197  
0.422     12.3077   5.24211     -2.41197  
0.423     12.3136   5.24332     -2.41197  
0.424     12.3194   5.24453     -2.41197  
0.425     12.3253   5.24575     -2.41197  
0.426     12.3311   5.24697     -2.41197  
0.427     12.337    5.24819     -2.41197  
0.428     12.3429   5.24942     -2.41197  
0.429     12.3487   5.25065     -2.41197  
0.43      12.3546   5.25188     -2.41197  
0.431     12.3604   5.25312     -2.41197  
0.432     12.3663   5.25436     -2.41197  
0.433     12.3722   5.2556      -2.41197  
0.434     12.3781   5.25685     -2.41197  
0.435     12.3839   5.2581      -2.41197  
0.436     12.3898   5.25935     -2.41197  
0.437     12.3957   5.26061     -2.41197  
0.438     12.4015   5.26187     -2.41197  
0.439     12.4074   5.26313     -2.41197  
0.44      12.4133   5.2644      -2.41197  
0.441     12.4192   5.26567     -2.41197  
0.442     12.4251   5.26695     -2.41197  
0.443     12.4309   5.26822     -2.41197  
0.444     12.4368   5.2695      -2.41197  
0.445     12.4427   5.27079     -2.41197  
0.446     12.4486   5.27208     -2.41196  
0.447     12.4545   5.27337     -2.41196  
0.448     12.4604   5.27466     -2.41196  
0.449     12.4662   5.27596     -2.41196  
0.45      12.4721   5.27726     -2.41196  
0.451     12.478    5.27856     -2.41196  
0.452     12.4839   5.27987     -2.41196  
0.453     12.4898   5.28118     -2.41196  
0.454     12.4957   5.2825      -2.41196  
0.455     12.5016   5.28382     -2.41196  
0.456     12.5075   5.28514     -2.41196  
0.457     12.5134   5.28646     -2.41196  
0.458     12.5193   5.28779     -2.41196  
0.459     12.5252   5.28912     -2.41196  
0.46      12.5311   5.29046     -2.41196  
0.461     12.537    5.2918      -2.41196  
0.462     12.5429   5.29314     -2.41196  
0.463     12.5488   5.29449     -2.41196  
0.464     12.5547   5.29584     -2.41196  
0.465     12.5606   5.29719     -2.41196  
0.466     12.5665   5.29855     -2.41196  
0.467     12.5724   5.29991     -2.41196  
0.468     12.5783   5.30127     -2.41196  
